id_item_pk,cd_eca,cd_item,cd_genre_mat,li_genre_mat,no_fabricant,li_article,cd_taille,an_fabrication,dt_fin_garantie,an_renouv,marque,type_marque,sim,imei,cd_fourn,nom_fourn,cd_statut,li_statut,is_actif,dt_statut,is_indispo,is_bloque,cd_sdis,li_sdis,cd_oi,li_oi,dt_mise_dispo,id_item_det_fk,cd_eca_det,li_article_det,cd_item_det,plaques_det,tx_remarques_sdis,cd_lieu,li_lieu,tx_detail_lieu,is_prete,is_lieu_ctl,cd_lieu_sdis,li_lieu_sdis,lieu_sdis_info,last_refresh,cd_entrepot,li_entrepot,cd_zone,li_zone,cd_secteur,no_etagere,no_niveau,no_position,cd_emplacement,tx_remarques_empl,cd_proprietaire_fk,li_proprietaire,proprietaire,dt_achat,mn_prix,mn_prix_rpc41,cd_categ_prim_pgi,cd_categ_sec_pgi,dt_deb_amorti,nb_duree_amorti,cd_projet,li_projet,no_facture,is_trans_pgi,cd_tarif_fk,cd_categ_abc_fk,cd_categ_abc_sdis,tx_remarques,us_aud_creation,dt_aud_creation,dt_aud_modif,us_aud_modif
59860,18110063,059860,AUT,Matériel suivi autre,R52HC0JMKEF,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673740,355755080392087,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,3747,09930001,"Véhicule de transport matériel, poids inf. à 6 T",660.966.353,VD   8650,,L-132-01,Lausanne,LOSA 151,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,29/03/2017 14:57:19,17/12/2018 08:36:51,IMP
59861,18110063,059861,AUT,Matériel suivi autre,R52HC0JLWJX,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705674060,355755080384530,CODALI,Codalis SA,AC,Actif,1,14/07/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,14/07/2017 00:00:00,6883,09900002,Véhicule porteur de Modules sur berce,418.127.983,VD 279494,,L-132-01,Lausanne,LOSA 140,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,29/03/2017 14:58:51,17/12/2018 08:36:51,IMP
59862,18110063,059862,AUT,Matériel suivi autre,R52HC0JLWRL,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673732,355755080384605,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,3555,09870001,Véhicule de traction 4x4,670.028.239,VD   7365,,L-132-01,Lausanne,LOSA 143,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,29/03/2017 15:00:21,17/12/2018 08:36:51,IMP
59863,18110063,059863,AUT,Matériel suivi autre,R52HC0JLLMK,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673724,355755080381593,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,3735,09930001,"Véhicule de transport matériel, poids inf. à 6 T",659.963.899,VD   8101,,L-132-01,Lausanne,LOSA 150,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,29/03/2017 15:01:47,17/12/2018 08:36:51,IMP
59864,18110063,059864,AUT,Matériel suivi autre,R52HC0JLX2X,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673716,355755080384704,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132C1,Epalinges DPS,  /  /       :  :,3750,09930001,"Véhicule de transport matériel, poids inf. à 6 T",204.658.330,VD   8802,,L-132-02,Epalinges,LOSA 370,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,29/03/2017 15:03:40,17/12/2018 08:36:51,IMP
59865,18110063,059865,AUT,Matériel suivi autre,R52HC0JLVSK,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673757,355755080384282,CODALI,Codalis SA,AC,Actif,1,08/12/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,08/12/2017 00:00:00,59767,09870001,Véhicule de traction 4x4,680.985.467,VD 607025,,L-132-01,Lausanne,"LOSA 161
VD 607025",0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,29/03/2017 15:04:56,17/12/2018 08:36:51,IMP
59866,18110063,059866,AUT,Matériel suivi autre,R52HC0JLWWK,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673765,355755080384647,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132C1,Epalinges DPS,  /  /       :  :,58267,09850003,Voiture chef d'intervention,218.330.060,VD 289257,,L-132-02,Epalinges,LOSA 301,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,29/03/2017 15:06:39,17/12/2018 08:36:51,IMP
59867,18110063,059867,AUT,Matériel suivi autre,R52HC0JLWSJ,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705674144,355755080384613,CODALI,Codalis SA,AC,Actif,1,14/07/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,14/07/2017 00:00:00,14509,09640001,Véhicule GRIMP,677.450.332,VD   8448,,L-132-01,Lausanne,LOSA 130,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,29/03/2017 15:08:32,17/12/2018 08:36:51,IMP
59872,18110063,059872,AUT,Matériel suivi autre,R52HC0JMLHF,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673773,355755080392442,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,3408,09850003,Voiture chef d'intervention,212.141.136,VD  52873,,L-132-01,Lausanne,LOSA 103,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,29/03/2017 15:45:18,17/12/2018 08:36:51,IMP
59925,18110063,059925,AUT,Matériel suivi autre,R52J20M0BXD,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673781,355755081791238,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132C1,Epalinges DPS,  /  /       :  :,3745,09930001,"Véhicule de transport matériel, poids inf. à 6 T",659.116.005,VD   8252,,L-132-02,Epalinges,LOSA 371,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:42:36,17/12/2018 08:36:51,IMP
